2013,1,1,0,79
2013,1,1,1,81
2013,1,1,2,81
2013,1,1,3,82
2013,1,1,4,84
2013,1,1,5,84
2013,1,1,6,84
2013,1,1,7,84
2013,1,1,8,84
2013,1,1,9,84
2013,1,1,10,84
2013,1,1,11,82
2013,1,1,12,81
2013,1,1,13,81
2013,1,1,14,81
2013,1,1,15,81
2013,1,1,16,81
2013,1,1,17,81
2013,1,1,18,81
2013,1,1,19,81
2013,1,1,20,81
2013,1,1,21,77
2013,1,1,22,79
2013,1,1,23,79
2013,1,2,0,79
2013,1,2,1,81
2013,1,2,2,82
2013,1,2,3,86
2013,1,2,4,88
2013,1,2,5,88
2013,1,2,6,88
2013,1,2,7,90
2013,1,2,8,88
2013,1,2,9,88
2013,1,2,10,86
2013,1,2,11,84
2013,1,2,12,82
2013,1,2,13,82
2013,1,2,14,81
2013,1,2,15,81
2013,1,2,16,81
2013,1,2,17,81
2013,1,2,18,81
2013,1,2,19,81
2013,1,2,20,81
2013,1,2,21,79
2013,1,2,22,79
2013,1,2,23,79
2013,1,3,0,79
2013,1,3,1,81
2013,1,3,2,82
2013,1,3,3,84
2013,1,3,4,88
2013,1,3,5,82
2013,1,3,6,82
2013,1,3,7,86
2013,1,3,8,86
2013,1,3,9,86
2013,1,3,10,84
2013,1,3,11,82
2013,1,3,12,82
2013,1,3,13,81
2013,1,3,14,81
2013,1,3,15,81
2013,1,3,16,81
2013,1,3,17,81
2013,1,3,18,81
2013,1,3,19,81
2013,1,3,20,81
2013,1,3,21,79
2013,1,3,22,79
2013,1,3,23,79
2013,1,4,0,79
2013,1,4,1,81
2013,1,4,2,82
2013,1,4,3,86
2013,1,4,4,88
2013,1,4,5,88
2013,1,4,6,88
2013,1,4,7,90
2013,1,4,8,82
2013,1,4,9,84
2013,1,4,10,84
2013,1,4,11,84
2013,1,4,12,81
2013,1,4,13,81
2013,1,4,14,81
2013,1,4,15,79
2013,1,4,16,79
2013,1,4,17,79
2013,1,4,18,79
2013,1,4,19,79
2013,1,4,20,79
2013,1,4,21,75
2013,1,4,22,75
2013,1,4,23,75
