2013,03,01,0000,46
2013,03,01,0100,45
2013,03,01,0200,43
2013,03,01,0255,41
2013,03,01,0300,43
2013,03,01,0400,43
2013,03,01,0500,41
2013,03,01,0555,39
2013,03,01,0655,37
2013,03,01,0755,37
2013,03,01,0855,37
2013,03,01,0955,36
2013,03,01,1055,36
2013,03,01,1156,36
2013,03,01,1256,36
2013,03,01,1356,43
2013,03,01,1456,46
2013,03,01,1656,50
2013,03,01,1756,54
2013,03,01,1856,52
2013,03,01,1956,50
2013,03,01,2256,48
2013,03,02,0056,46
2013,03,02,0156,45
2013,03,02,0255,44
2013,03,02,0355,44
2013,03,02,0455,43
2013,03,02,0555,42
2013,03,02,0655,41
2013,03,02,0755,38
2013,03,02,0855,37
2013,03,02,0955,36
2013,03,02,1055,32
2013,03,02,1156,30
2013,03,02,1256,36
2013,03,02,1356,39
2013,03,02,1556,45
2013,03,02,1656,46
2013,03,02,1756,48
2013,03,02,1856,50
2013,03,02,1956,48
2013,03,02,2056,48
2013,03,02,2156,48
2013,03,02,2256,46
2013,03,03,0056,37
2013,03,03,0156,39
2013,03,03,0255,38
2013,03,03,0355,38
2013,03,03,0455,37
2013,03,03,0555,38
2013,03,03,0655,35
2013,03,03,0755,33
2013,03,03,0855,32
2013,03,03,0955,31
2013,03,03,1055,31
2013,03,03,1156,30
2013,03,03,1256,34
2013,03,03,1356,37
2013,03,03,1456,39
2013,03,03,1556,41
2013,03,03,1656,43
2013,03,03,1756,43
2013,03,03,1856,43
2013,03,03,1956,46
2013,03,03,2056,46
2013,03,03,2156,46
2013,03,03,2356,37
2013,03,04,0056,32
2013,03,04,0156,37
2013,03,04,0255,38
2013,03,04,0355,36
2013,03,04,0455,34
2013,03,04,0555,33
2013,03,04,0655,32
2013,03,04,0755,31
2013,03,04,0855,31
2013,03,04,0955,30
2013,03,04,1055,30
2013,03,04,1156,30
2013,03,04,1356,36
2013,03,04,1456,37
2013,03,04,1656,43
2013,03,04,1956,48
2013,03,04,2056,50
2013,03,04,2156,48
2013,03,04,2256,46
2013,03,04,2356,34
2013,03,05,0155,32
2013,03,05,0156,32
2013,03,05,0255,31
2013,03,05,0355,30
2013,03,05,0555,32
2013,03,05,0655,31
2013,03,05,0755,31
2013,03,05,0855,31
2013,03,05,0955,32
2013,03,05,1055,34
2013,03,05,1156,34
2013,03,05,1256,37
2013,03,05,1356,43
2013,03,05,1456,50
2013,03,05,1555,55
2013,03,05,1656,59
2013,03,05,1756,59
2013,03,05,1856,59
2013,03,05,1956,59
2013,03,05,2056,57
2013,03,05,2156,52
2013,03,05,2256,50
2013,03,05,2356,48
2013,03,06,0056,48
2013,03,06,0156,48
2013,03,06,0255,53
2013,03,06,0355,50
2013,03,06,0455,53
2013,03,06,0555,56
2013,03,06,0655,57
2013,03,06,0755,57
2013,03,06,0855,55
2013,03,06,0955,52
2013,03,06,1055,47
2013,03,06,1156,43
2013,03,06,1256,41
2013,03,06,1356,43
2013,03,06,1456,43
2013,03,06,1556,43
2013,03,06,1656,43
2013,03,06,1756,45
2013,03,06,1856,45
2013,03,06,1956,46
2013,03,06,2056,46
2013,03,06,2156,45
2013,03,06,2256,43
2013,03,06,2356,43
2013,03,07,0056,45
2013,03,07,0156,41
2013,03,07,0256,43
2013,03,07,0355,42
2013,03,07,0455,42
2013,03,07,0555,42
2013,03,07,0655,40
2013,03,07,0755,39
2013,03,07,0855,38
2013,03,07,0955,37
2013,03,07,1055,37
2013,03,07,1156,36
2013,03,07,1256,41
2013,03,07,1356,45
2013,03,07,1456,48
2013,03,07,1556,50
2013,03,07,1656,52
2013,03,07,1756,54
2013,03,07,1856,52
2013,03,07,2056,52
2013,03,07,2156,50
2013,03,07,2256,48
2013,03,07,2356,48
2013,03,08,0056,48
2013,03,08,0155,47
2013,03,08,0200,46
2013,03,08,0256,45
2013,03,08,0355,42
2013,03,08,0455,40
2013,03,08,0555,38
2013,03,08,0655,38
2013,03,08,0755,36
2013,03,08,0855,35
2013,03,08,0955,34
2013,03,08,1055,34
2013,03,08,1156,36
2013,03,08,1256,34
2013,03,08,1356,43
2013,03,08,1456,46
2013,03,08,1556,48
2013,03,08,1656,50
2013,03,08,1756,52
2013,03,08,1856,54
2013,03,08,1956,55
2013,03,08,2056,55
2013,03,08,2156,55
2013,03,08,2256,52
2013,03,08,2356,50
2013,03,09,0056,46
2013,03,09,0156,45
2013,03,09,0255,45
2013,03,09,0355,44
2013,03,09,0455,43
2013,03,09,0555,42
2013,03,09,0655,40
2013,03,09,0755,39
2013,03,09,0855,39
2013,03,09,0955,39
2013,03,09,1055,38
2013,03,09,1156,37
2013,03,09,1256,41
2013,03,09,1356,46
2013,03,09,1456,50
2013,03,09,1556,52
2013,03,09,1656,57
2013,03,09,1756,59
2013,03,09,1856,59
2013,03,09,1956,61
2013,03,09,2056,61
2013,03,09,2156,61
2013,03,09,2256,57
2013,03,09,2356,46
2013,03,10,0056,41
2013,03,10,0156,37
2013,03,10,0255,37
2013,03,10,0355,37
2013,03,10,0455,36
2013,03,10,0555,33
2013,03,10,0655,32
2013,03,10,0755,31
2013,03,10,0855,31
2013,03,10,0955,29
2013,03,10,1056,30
2013,03,10,1156,28
2013,03,10,1256,37
2013,03,10,1356,48
2013,03,10,1456,54
2013,03,10,1556,59
2013,03,10,1656,61
2013,03,10,1756,63
2013,03,10,1856,64
2013,03,10,1956,66
2013,03,10,2056,66
2013,03,10,2156,66
2013,03,10,2256,63
2013,03,10,2356,59
2013,03,11,0056,55
2013,03,11,0155,52
2013,03,11,0255,49
